City;Country;Category;Category 2;CO2;Distance (km);Flight time (min);Budget;Month;Average Temp;Sun hours per day;Rain probability
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Jan;9.8;5;0.133333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Feb;10.3;6;0.133333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Mar;12.3;6.5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Apr;14.5;7.5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;May;17.9;8;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Jun;21.7;8.5;0.133333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Jul;24.5;10;0.066666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Aug;25.1;9;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Sep;22;7.5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Oct;18.3;6;0.233333333
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Nov;13.5;5;0.166666667
Barcelona;SP;Beach;Sightseeing;0.39;840;100;Medium;Dec;10.5;4.5;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Jan;9.6;5;0.2
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Feb;9.8;6;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Mar;11.9;7;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Apr;14.1;7.5;0.233333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;May;17.8;8.5;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Jun;21.4;10;0.133333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Jul;24.2;11;0.066666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Aug;24.5;10;0.066666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Sep;21.2;8;0.166666667
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Oct;17.5;6;0.233333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Nov;13.4;4;0.233333333
Nice;FR;Beach;Sightseeing;0.28;420;70;Low;Dec;10.4;4.5;0.2
Faro;PT;Beach;Party;0.66;1780;170;Low;Jan;12.3;6;0.233333333
Faro;PT;Beach;Party;0.66;1780;170;Low;Feb;12.9;6;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Mar;14.8;8;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Apr;16.4;8.5;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;May;19.1;10;0.166666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Jun;22.1;11;0.033333333
Faro;PT;Beach;Party;0.66;1780;170;Low;Jul;24.4;11.5;0
Faro;PT;Beach;Party;0.66;1780;170;Low;Aug;24.4;11;0
Faro;PT;Beach;Party;0.66;1780;170;Low;Sep;22.3;9.5;0.066666667
Faro;PT;Beach;Party;0.66;1780;170;Low;Oct;19.5;7.5;0.2
Faro;PT;Beach;Party;0.66;1780;170;Low;Nov;15.7;6.5;0.2
Faro;PT;Beach;Party;0.66;1780;170;Low;Dec;13.4;5;0.266666667
